Series ID,Year,Period,Label,Value
LASMT261982000000003,2013,M12,2013 Dec,9.2
LASMT261982000000003,2014,M01,2014 Jan,9.1
LASMT261982000000003,2014,M02,2014 Feb,9.0
LASMT261982000000003,2014,M03,2014 Mar,8.8
LASMT261982000000003,2014,M04,2014 Apr,8.7
LASMT261982000000003,2014,M05,2014 May,8.5
LASMT261982000000003,2014,M06,2014 Jun,8.3
LASMT261982000000003,2014,M07,2014 Jul,8.1
LASMT261982000000003,2014,M08,2014 Aug,7.9
LASMT261982000000003,2014,M09,2014 Sep,7.7
LASMT261982000000003,2014,M10,2014 Oct,7.5
LASMT261982000000003,2014,M11,2014 Nov,7.2
LASMT261982000000003,2014,M12,2014 Dec,6.9
LASMT261982000000003,2015,M01,2015 Jan,6.7
LASMT261982000000003,2015,M02,2015 Feb,6.5
LASMT261982000000003,2015,M03,2015 Mar,6.4
LASMT261982000000003,2015,M04,2015 Apr,6.3
LASMT261982000000003,2015,M05,2015 May,6.1
LASMT261982000000003,2015,M06,2015 Jun,5.9
LASMT261982000000003,2015,M07,2015 Jul,5.8
LASMT261982000000003,2015,M08,2015 Aug,5.6
LASMT261982000000003,2015,M09,2015 Sep,5.4
LASMT261982000000003,2015,M10,2015 Oct,5.3
LASMT261982000000003,2015,M11,2015 Nov,5.3
LASMT261982000000003,2015,M12,2015 Dec,5.3
LASMT261982000000003,2016,M01,2016 Jan,5.3
LASMT261982000000003,2016,M02,2016 Feb,5.3
LASMT261982000000003,2016,M03,2016 Mar,5.3
LASMT261982000000003,2016,M04,2016 Apr,5.3
LASMT261982000000003,2016,M05,2016 May,5.3
LASMT261982000000003,2016,M06,2016 Jun,5.3
LASMT261982000000003,2016,M07,2016 Jul,5.3
LASMT261982000000003,2016,M08,2016 Aug,5.3
LASMT261982000000003,2016,M09,2016 Sep,5.3
LASMT261982000000003,2016,M10,2016 Oct,5.4
LASMT261982000000003,2016,M11,2016 Nov,5.4
LASMT261982000000003,2016,M12,2016 Dec,5.3
LASMT261982000000003,2017,M01,2017 Jan,5.1
LASMT261982000000003,2017,M02,2017 Feb,4.9
LASMT261982000000003,2017,M03,2017 Mar,4.6
LASMT261982000000003,2017,M04,2017 Apr,4.3
LASMT261982000000003,2017,M05,2017 May,4.1
LASMT261982000000003,2017,M06,2017 Jun,4.0
LASMT261982000000003,2017,M07,2017 Jul,4.1
LASMT261982000000003,2017,M08,2017 Aug,4.2
LASMT261982000000003,2017,M09,2017 Sep,4.3
LASMT261982000000003,2017,M10,2017 Oct,4.4
LASMT261982000000003,2017,M11,2017 Nov,4.4
LASMT261982000000003,2017,M12,2017 Dec,4.4
